product;specdtl;filename;page
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;Specification each unit : (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;Trusted Platform Module 2.0 V3 (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;"2.5"" Chassis with up to 8 NVMe HWRAID Drives, Front PERC 12 (Qty=1)";BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;Intel  Xeon  Gold 6444Y 3.6G, 16C/32T, 16GT/s, 45M Cache, Turbo, HT (270W) DDR5-4800 (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;Intel  Xeon  Gold 6444Y 3.6G, 16C/32T, 16GT/s, 45M Cache, Turbo, HT (270W) DDR5-4800 (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;Heatsink for 2 CPU configuration (CPU greater than 165W) (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;Performance Optimized (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;4800MT/s RDIMMs (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;16GB RDIMM, 4800MT/s Single Rank (Qty=16);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;C33, RAID 1 with NVMe and front PERC (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;PERC H965i Controller, Front (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;Front PERC Mechanical Parts, rear load (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;BOSS-N1 controller card + with 2 M.2 480GB (RAID 1) (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;BOSS Cables and Bracket for R760 (Riser 1) (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;1.6TB Enterprise NVMe Mixed Use AG Drive U.2 Gen4 with carrier (Qty=2);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;Performance BIOS Setting (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;UEFI BIOS Boot Mode with GPT Partition (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;Very High Performance Fan x6 (Qty=1);BOQ1.pdf;1
Spesifikasi Hardware - Server Category 1 - Dell R760 - 6444Y 3.6G, 16C x2;Dual, Hot-Plug,Power Supply Redundant (1+1), 1400W, Mixed Mode (Qty=1);BOQ1.pdf;1
